Key	Distrito	Municipio	Freguesia	Eleitores (Anterior)	Eleitores (Corrente)	Percentagem de Votantes (Anterior)	Percentagem de Votantes (Corrente)	Votos Nulos (Anterior)	Votos Nulos (Corrente)	Votos Brancos (Anterior)	Votos Brancos (Corrente)	A - Votos (Anterior)	A - Votos (Corrente)	A - Percentagem (Anterior)	A - Percentagem (Corrente)	ADN - Votos (Anterior)	ADN - Votos (Corrente)	ADN - Percentagem (Anterior)	ADN - Percentagem (Corrente)	B.E. - Votos (Anterior)	B.E. - Votos (Corrente)	B.E. - Percentagem (Anterior)	B.E. - Percentagem (Corrente)	CDS-PP - Votos (Anterior)	CDS-PP - Votos (Corrente)	CDS-PP - Percentagem (Anterior)	CDS-PP - Percentagem (Corrente)	CH - Votos (Anterior)	CH - Votos (Corrente)	CH - Percentagem (Anterior)	CH - Percentagem (Corrente)	E - Votos (Anterior)	E - Votos (Corrente)	E - Percentagem (Anterior)	E - Percentagem (Corrente)	IL - Votos (Anterior)	IL - Votos (Corrente)	IL - Percentagem (Anterior)	IL - Percentagem (Corrente)	L - Votos (Anterior)	L - Votos (Corrente)	L - Percentagem (Anterior)	L - Percentagem (Corrente)	MAS - Votos (Anterior)	MAS - Votos (Corrente)	MAS - Percentagem (Anterior)	MAS - Percentagem (Corrente)	MPT - Votos (Anterior)	MPT - Votos (Corrente)	MPT - Percentagem (Anterior)	MPT - Percentagem (Corrente)	NC - Votos (Anterior)	NC - Votos (Corrente)	NC - Percentagem (Anterior)	NC - Percentagem (Corrente)	ND - Votos (Anterior)	ND - Votos (Corrente)	ND - Percentagem (Anterior)	ND - Percentagem (Corrente)	PAN - Votos (Anterior)	PAN - Votos (Corrente)	PAN - Percentagem (Anterior)	PAN - Percentagem (Corrente)	PCP-PEV - Votos (Anterior)	PCP-PEV - Votos (Corrente)	PCP-PEV - Percentagem (Anterior)	PCP-PEV - Percentagem (Corrente)	PCTP/MRPP - Votos (Anterior)	PCTP/MRPP - Votos (Corrente)	PCTP/MRPP - Percentagem (Anterior)	PCTP/MRPP - Percentagem (Corrente)	PDR - Votos (Anterior)	PDR - Votos (Corrente)	PDR - Percentagem (Anterior)	PDR - Percentagem (Corrente)	PNR - Votos (Anterior)	PNR - Votos (Corrente)	PNR - Percentagem (Anterior)	PNR - Percentagem (Corrente)	PPD/PSD - Votos (Anterior)	PPD/PSD - Votos (Corrente)	PPD/PSD - Percentagem (Anterior)	PPD/PSD - Percentagem (Corrente)	PPD/PSD.CDS-PP.PPM - Votos (Anterior)	PPD/PSD.CDS-PP.PPM - Votos (Corrente)	PPD/PSD.CDS-PP.PPM - Percentagem (Anterior)	PPD/PSD.CDS-PP.PPM - Percentagem (Corrente)	PPM.PPV/CDC - Votos (Anterior)	PPM.PPV/CDC - Votos (Corrente)	PPM.PPV/CDC - Percentagem (Anterior)	PPM.PPV/CDC - Percentagem (Corrente)	PS - Votos (Anterior)	PS - Votos (Corrente)	PS - Percentagem (Anterior)	PS - Percentagem (Corrente)	PTP - Votos (Anterior)	PTP - Votos (Corrente)	PTP - Percentagem (Anterior)	PTP - Percentagem (Corrente)	PURP - Votos (Anterior)	PURP - Votos (Corrente)	PURP - Percentagem (Anterior)	PURP - Percentagem (Corrente)	R.I.R. - Votos (Anterior)	R.I.R. - Votos (Corrente)	R.I.R. - Percentagem (Anterior)	R.I.R. - Percentagem (Corrente)	VP - Votos (Anterior)	VP - Votos (Corrente)	VP - Percentagem (Anterior)	VP - Percentagem (Corrente)
LOCAL-060122	Coimbra	Arganil	Vila Cova de Alva e Anseriz	504	463	0.4008	0.5356	6	0	12	7	1	0	0.0050	0.0000	0	3	0.0000	0.0121	13	3	0.0644	0.0121	4	0	0.0198	0.0000	0	8	0.0000	0.0323	0	0	0.0000	0.0000	0	16	0.0000	0.0645	1	8	0.0050	0.0323	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	8	3	0.0396	0.0121	4	1	0.0198	0.0040	1	0	0.0050	0.0000	1	0	0.0050	0.0000	0	0	0.0000	0.0000	44	0	0.2178	0.0000	0	68	0.0000	0.2742	3	0	0.0149	0.0000	104	129	0.5149	0.5202	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	2	0.0000	0.0081
LOCAL-060201	Coimbra	Cantanhede	Ançã	2363	2330	0.2886	0.3197	10	2	43	12	5	0	0.0073	0.0000	0	7	0.0000	0.0094	79	29	0.1158	0.0389	23	0	0.0337	0.0000	0	71	0.0000	0.0953	0	1	0.0000	0.0013	0	43	0.0000	0.0577	10	28	0.0147	0.0376	2	0	0.0029	0.0000	0	1	0.0000	0.0013	6	1	0.0088	0.0013	0	1	0.0000	0.0013	19	9	0.0279	0.0121	40	32	0.0587	0.0430	2	0	0.0029	0.0000	5	0	0.0073	0.0000	2	0	0.0029	0.0000	145	0	0.2126	0.0000	0	220	0.0000	0.2953	9	0	0.0132	0.0000	280	288	0.4106	0.3866	0	0	0.0000	0.0000	2	0	0.0029	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000
LOCAL-060203	Coimbra	Cantanhede	Cadima	2837	2679	0.2749	0.3098	12	6	40	12	5	0	0.0064	0.0000	0	24	0.0000	0.0289	67	37	0.0859	0.0446	46	0	0.0590	0.0000	0	85	0.0000	0.1024	0	0	0.0000	0.0000	7	45	0.0090	0.0542	12	25	0.0154	0.0301	4	1	0.0051	0.0012	0	0	0.0000	0.0000	2	0	0.0026	0.0000	0	1	0.0000	0.0012	32	6	0.0410	0.0072	17	10	0.0218	0.0120	8	0	0.0103	0.0000	6	0	0.0077	0.0000	3	0	0.0038	0.0000	292	0	0.3744	0.0000	0	348	0.0000	0.4193	6	0	0.0077	0.0000	219	229	0.2808	0.2759	2	0	0.0026	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	1	0.0000	0.0012
LOCAL-060205	Coimbra	Cantanhede	Cordinhã	1036	992	0.2471	0.3125	2	2	19	9	1	0	0.0039	0.0000	0	3	0.0000	0.0097	22	5	0.0859	0.0161	13	0	0.0508	0.0000	0	32	0.0000	0.1032	0	0	0.0000	0.0000	6	20	0.0234	0.0645	2	5	0.0078	0.0161	0	1	0.0000	0.0032	0	1	0.0000	0.0032	1	0	0.0039	0.0000	0	0	0.0000	0.0000	2	3	0.0078	0.0097	3	3	0.0117	0.0097	1	0	0.0039	0.0000	0	0	0.0000	0.0000	2	0	0.0078	0.0000	61	0	0.2383	0.0000	0	89	0.0000	0.2871	0	0	0.0000	0.0000	120	137	0.4688	0.4419	1	0	0.0039	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000
LOCAL-060207	Coimbra	Cantanhede	Febres	3653	3429	0.2540	0.2721	30	5	72	16	11	0	0.0119	0.0000	0	26	0.0000	0.0279	59	20	0.0636	0.0214	59	0	0.0636	0.0000	0	107	0.0000	0.1147	0	2	0.0000	0.0021	4	44	0.0043	0.0472	11	14	0.0119	0.0150	3	1	0.0032	0.0011	0	1	0.0000	0.0011	8	0	0.0086	0.0000	0	1	0.0000	0.0011	34	10	0.0366	0.0107	7	4	0.0075	0.0043	2	0	0.0022	0.0000	5	0	0.0054	0.0000	5	0	0.0054	0.0000	369	0	0.3976	0.0000	0	442	0.0000	0.4737	7	0	0.0075	0.0000	237	239	0.2554	0.2562	2	1	0.0022	0.0011	3	0	0.0032	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000
LOCAL-060208	Coimbra	Cantanhede	Murtede	1354	1285	0.2644	0.3494	6	1	16	8	2	0	0.0056	0.0000	0	13	0.0000	0.0290	34	19	0.0950	0.0423	13	0	0.0363	0.0000	0	28	0.0000	0.0624	0	3	0.0000	0.0067	3	24	0.0084	0.0535	0	12	0.0000	0.0267	1	1	0.0028	0.0022	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	1	0.0000	0.0022	8	3	0.0223	0.0067	13	5	0.0363	0.0111	0	0	0.0000	0.0000	1	0	0.0028	0.0000	1	0	0.0028	0.0000	110	0	0.3073	0.0000	0	157	0.0000	0.3497	1	0	0.0028	0.0000	148	170	0.4134	0.3786	0	0	0.0000	0.0000	1	0	0.0028	0.0000	0	3	0.0000	0.0067	0	1	0.0000	0.0022
LOCAL-060209	Coimbra	Cantanhede	Ourentã	1219	1145	0.3011	0.3205	11	4	37	7	4	0	0.0109	0.0000	0	6	0.0000	0.0163	17	9	0.0463	0.0245	21	0	0.0572	0.0000	0	41	0.0000	0.1117	0	0	0.0000	0.0000	0	19	0.0000	0.0518	3	5	0.0082	0.0136	2	1	0.0054	0.0027	0	1	0.0000	0.0027	6	0	0.0163	0.0000	0	0	0.0000	0.0000	6	1	0.0163	0.0027	6	3	0.0163	0.0082	3	0	0.0082	0.0000	5	0	0.0136	0.0000	1	0	0.0027	0.0000	123	0	0.3351	0.0000	0	151	0.0000	0.4114	2	0	0.0054	0.0000	116	117	0.3161	0.3188	1	0	0.0027	0.0000	3	0	0.0082	0.0000	0	2	0.0000	0.0054	0	0	0.0000	0.0000
LOCAL-060214	Coimbra	Cantanhede	Tocha	3556	3393	0.2764	0.3940	29	6	54	15	16	0	0.0163	0.0000	0	23	0.0000	0.0172	96	48	0.0977	0.0359	48	0	0.0488	0.0000	0	180	0.0000	0.1346	0	1	0.0000	0.0007	5	99	0.0051	0.0740	6	27	0.0061	0.0202	0	2	0.0000	0.0015	0	2	0.0000	0.0015	9	1	0.0092	0.0007	0	0	0.0000	0.0000	33	7	0.0336	0.0052	26	16	0.0264	0.0120	6	0	0.0061	0.0000	8	0	0.0081	0.0000	6	0	0.0061	0.0000	292	0	0.2970	0.0000	0	506	0.0000	0.3785	12	0	0.0122	0.0000	329	401	0.3347	0.2999	1	0	0.0010	0.0000	7	0	0.0071	0.0000	0	0	0.0000	0.0000	0	3	0.0000	0.0022
LOCAL-060215	Coimbra	Cantanhede	São Caetano	784	783	0.3673	0.4840	19	2	20	12	7	0	0.0243	0.0000	0	8	0.0000	0.0211	20	9	0.0694	0.0237	9	0	0.0313	0.0000	0	27	0.0000	0.0712	0	1	0.0000	0.0026	3	23	0.0104	0.0607	2	10	0.0069	0.0264	1	0	0.0035	0.0000	0	0	0.0000	0.0000	5	0	0.0174	0.0000	0	1	0.0000	0.0026	7	0	0.0243	0.0000	2	2	0.0069	0.0053	3	0	0.0104	0.0000	1	0	0.0035	0.0000	1	0	0.0035	0.0000	130	0	0.4514	0.0000	0	217	0.0000	0.5726	0	0	0.0000	0.0000	56	66	0.1944	0.1741	2	0	0.0069	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	1	0.0000	0.0026
LOCAL-060218	Coimbra	Cantanhede	Sanguinheira	1774	1677	0.2993	0.3232	8	5	35	15	8	0	0.0151	0.0000	0	9	0.0000	0.0166	34	10	0.0640	0.0185	23	0	0.0433	0.0000	0	79	0.0000	0.1458	0	2	0.0000	0.0037	3	27	0.0056	0.0498	7	14	0.0132	0.0258	0	0	0.0000	0.0000	0	0	0.0000	0.0000	7	2	0.0132	0.0037	0	4	0.0000	0.0074	20	3	0.0377	0.0055	15	5	0.0282	0.0092	7	0	0.0132	0.0000	1	0	0.0019	0.0000	1	0	0.0019	0.0000	220	0	0.4143	0.0000	0	237	0.0000	0.4373	4	0	0.0075	0.0000	131	127	0.2467	0.2343	2	0	0.0038	0.0000	5	0	0.0094	0.0000	0	1	0.0000	0.0018	0	2	0.0000	0.0037
LOCAL-060220	Coimbra	Cantanhede	Cantanhede e Pocariça	8215	8224	0.3189	0.3983	70	25	178	73	53	0	0.0202	0.0000	0	52	0.0000	0.0159	308	143	0.1176	0.0437	120	0	0.0458	0.0000	0	318	0.0000	0.0971	0	7	0.0000	0.0021	19	308	0.0073	0.0940	42	122	0.0160	0.0372	7	2	0.0027	0.0006	0	1	0.0000	0.0003	38	1	0.0145	0.0003	0	0	0.0000	0.0000	129	35	0.0492	0.0107	88	42	0.0336	0.0128	17	0	0.0065	0.0000	21	0	0.0080	0.0000	14	0	0.0053	0.0000	673	0	0.2569	0.0000	0	1135	0.0000	0.3465	39	0	0.0149	0.0000	797	1003	0.3042	0.3062	2	0	0.0008	0.0000	5	0	0.0019	0.0000	0	2	0.0000	0.0006	0	7	0.0000	0.0021
LOCAL-060221	Coimbra	Cantanhede	Covões e Camarneira	3324	3117	0.2518	0.2939	29	7	35	13	5	0	0.0060	0.0000	0	27	0.0000	0.0295	53	17	0.0633	0.0186	52	0	0.0621	0.0000	0	100	0.0000	0.1092	0	0	0.0000	0.0000	5	49	0.0060	0.0535	5	12	0.0060	0.0131	3	1	0.0036	0.0011	0	0	0.0000	0.0000	3	1	0.0036	0.0011	0	3	0.0000	0.0033	21	3	0.0251	0.0033	10	2	0.0119	0.0022	1	0	0.0012	0.0000	2	0	0.0024	0.0000	3	0	0.0036	0.0000	447	0	0.5341	0.0000	0	522	0.0000	0.5699	3	0	0.0036	0.0000	155	158	0.1852	0.1725	2	1	0.0024	0.0011	3	0	0.0036	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000
LOCAL-060222	Coimbra	Cantanhede	Portunhos e Outil	1820	1771	0.3192	0.3597	8	7	31	12	3	0	0.0052	0.0000	0	15	0.0000	0.0235	75	27	0.1291	0.0424	24	0	0.0413	0.0000	0	74	0.0000	0.1162	0	5	0.0000	0.0078	1	47	0.0017	0.0738	8	20	0.0138	0.0314	2	1	0.0034	0.0016	0	2	0.0000	0.0031	3	1	0.0052	0.0016	0	1	0.0000	0.0016	28	7	0.0482	0.0110	29	16	0.0499	0.0251	2	0	0.0034	0.0000	3	0	0.0052	0.0000	6	0	0.0103	0.0000	123	0	0.2117	0.0000	0	164	0.0000	0.2575	4	0	0.0069	0.0000	227	235	0.3907	0.3689	1	0	0.0017	0.0000	3	0	0.0052	0.0000	0	3	0.0000	0.0047	0	0	0.0000	0.0000
LOCAL-060223	Coimbra	Cantanhede	Sepins e Bolho	1908	1773	0.2731	0.3593	24	6	53	24	11	0	0.0211	0.0000	0	9	0.0000	0.0141	39	16	0.0749	0.0251	20	0	0.0384	0.0000	0	60	0.0000	0.0942	0	0	0.0000	0.0000	2	29	0.0038	0.0455	3	16	0.0058	0.0251	2	1	0.0038	0.0016	0	1	0.0000	0.0016	1	0	0.0019	0.0000	0	0	0.0000	0.0000	17	6	0.0326	0.0094	5	8	0.0096	0.0126	2	0	0.0038	0.0000	2	0	0.0038	0.0000	1	0	0.0019	0.0000	179	0	0.3436	0.0000	0	273	0.0000	0.4286	5	0	0.0096	0.0000	152	186	0.2917	0.2920	2	0	0.0038	0.0000	1	0	0.0019	0.0000	0	0	0.0000	0.0000	0	2	0.0000	0.0031
LOCAL-060224	Coimbra	Cantanhede	Vilamar e Corticeiro de Cima	1466	1422	0.3390	0.3980	16	6	44	6	12	0	0.0241	0.0000	0	11	0.0000	0.0194	16	9	0.0322	0.0159	30	0	0.0604	0.0000	0	73	0.0000	0.1290	0	1	0.0000	0.0018	2	40	0.0040	0.0707	1	14	0.0020	0.0247	1	1	0.0020	0.0018	0	0	0.0000	0.0000	2	0	0.0040	0.0000	0	0	0.0000	0.0000	15	4	0.0302	0.0071	3	1	0.0060	0.0018	1	0	0.0020	0.0000	2	0	0.0040	0.0000	6	0	0.0121	0.0000	219	0	0.4406	0.0000	0	265	0.0000	0.4682	8	0	0.0161	0.0000	117	131	0.2354	0.2314	1	1	0.0020	0.0018	1	0	0.0020	0.0000	0	2	0.0000	0.0035	0	1	0.0000	0.0018
LOCAL-060301	Coimbra	Coimbra	Almalaguês	2720	2615	0.3750	0.3767	20	8	29	10	11	0	0.0108	0.0000	0	12	0.0000	0.0122	230	48	0.2255	0.0487	28	0	0.0275	0.0000	0	59	0.0000	0.0599	0	2	0.0000	0.0020	2	84	0.0020	0.0853	5	29	0.0049	0.0294	0	0	0.0000	0.0000	0	0	0.0000	0.0000	14	0	0.0137	0.0000	0	14	0.0000	0.0142	22	3	0.0216	0.0030	67	30	0.0657	0.0305	11	0	0.0108	0.0000	6	0	0.0059	0.0000	2	0	0.0020	0.0000	139	0	0.1363	0.0000	0	232	0.0000	0.2355	5	0	0.0049	0.0000	423	447	0.4147	0.4538	3	1	0.0029	0.0010	3	0	0.0029	0.0000	0	1	0.0000	0.0010	0	5	0.0000	0.0051
LOCAL-060309	Coimbra	Coimbra	Brasfemes	1733	1747	0.4097	0.5175	10	4	54	17	10	0	0.0141	0.0000	0	5	0.0000	0.0055	106	55	0.1493	0.0608	20	0	0.0282	0.0000	0	61	0.0000	0.0675	0	1	0.0000	0.0011	4	74	0.0056	0.0819	9	47	0.0127	0.0520	2	2	0.0028	0.0022	0	0	0.0000	0.0000	6	1	0.0085	0.0011	0	2	0.0000	0.0022	31	8	0.0437	0.0088	51	56	0.0718	0.0619	10	0	0.0141	0.0000	0	0	0.0000	0.0000	2	0	0.0028	0.0000	96	0	0.1352	0.0000	0	202	0.0000	0.2235	8	0	0.0113	0.0000	287	363	0.4042	0.4015	2	1	0.0028	0.0011	2	0	0.0028	0.0000	0	1	0.0000	0.0011	0	4	0.0000	0.0044
LOCAL-060311	Coimbra	Coimbra	Ceira	3157	3073	0.2901	0.4139	23	3	43	23	16	0	0.0175	0.0000	0	14	0.0000	0.0110	135	70	0.1474	0.0550	32	0	0.0349	0.0000	0	101	0.0000	0.0794	0	2	0.0000	0.0016	3	111	0.0033	0.0873	10	52	0.0109	0.0409	0	1	0.0000	0.0008	0	0	0.0000	0.0000	6	1	0.0066	0.0008	0	3	0.0000	0.0024	29	12	0.0317	0.0094	77	78	0.0841	0.0613	12	0	0.0131	0.0000	2	0	0.0022	0.0000	6	0	0.0066	0.0000	158	0	0.1725	0.0000	0	307	0.0000	0.2414	5	0	0.0055	0.0000	356	492	0.3886	0.3868	0	1	0.0000	0.0008	3	0	0.0033	0.0000	0	1	0.0000	0.0008	0	0	0.0000	0.0000
LOCAL-060312	Coimbra	Coimbra	Cernache	3469	3399	0.3773	0.5252	23	10	58	27	24	0	0.0183	0.0000	0	23	0.0000	0.0129	215	92	0.1642	0.0515	72	0	0.0550	0.0000	0	127	0.0000	0.0711	0	2	0.0000	0.0011	6	160	0.0046	0.0896	13	86	0.0099	0.0482	4	0	0.0031	0.0000	0	1	0.0000	0.0006	22	3	0.0168	0.0017	0	2	0.0000	0.0011	60	24	0.0458	0.0134	88	74	0.0672	0.0415	11	0	0.0084	0.0000	8	0	0.0061	0.0000	7	0	0.0053	0.0000	208	0	0.1589	0.0000	0	486	0.0000	0.2723	23	0	0.0176	0.0000	464	662	0.3545	0.3709	0	0	0.0000	0.0000	3	0	0.0023	0.0000	0	3	0.0000	0.0017	0	3	0.0000	0.0017
LOCAL-060318	Coimbra	Coimbra	Santo António dos Olivais	36125	36040	0.4532	0.4440	258	78	674	212	467	0	0.0285	0.0000	0	138	0.0000	0.0086	2710	1091	0.1655	0.0682	1115	0	0.0681	0.0000	0	669	0.0000	0.0418	0	132	0.0000	0.0083	201	2039	0.0123	0.1274	562	1102	0.0343	0.0689	39	8	0.0024	0.0005	0	8	0.0000	0.0005	297	2	0.0181	0.0001	0	18	0.0000	0.0011	816	195	0.0498	0.0122	1027	753	0.0627	0.0471	66	0	0.0040	0.0000	98	0	0.0060	0.0000	61	0	0.0037	0.0000	3574	0	0.2183	0.0000	0	4964	0.0000	0.3103	101	0	0.0062	0.0000	4267	4535	0.2606	0.2834	7	4	0.0004	0.0003	33	0	0.0020	0.0000	0	8	0.0000	0.0005	0	44	0.0000	0.0027
LOCAL-060320	Coimbra	Coimbra	São João do Campo	1754	1675	0.2965	0.3433	6	5	16	9	4	0	0.0077	0.0000	0	9	0.0000	0.0157	56	19	0.1077	0.0330	14	0	0.0269	0.0000	0	60	0.0000	0.1043	0	2	0.0000	0.0035	3	44	0.0058	0.0765	10	11	0.0192	0.0191	1	1	0.0019	0.0017	0	1	0.0000	0.0017	4	0	0.0077	0.0000	0	0	0.0000	0.0000	11	2	0.0212	0.0035	58	43	0.1115	0.0748	6	0	0.0115	0.0000	8	0	0.0154	0.0000	2	0	0.0038	0.0000	59	0	0.1135	0.0000	0	119	0.0000	0.2070	5	0	0.0096	0.0000	252	248	0.4846	0.4313	1	0	0.0019	0.0000	4	0	0.0077	0.0000	0	2	0.0000	0.0035	0	0	0.0000	0.0000
LOCAL-060324	Coimbra	Coimbra	São Silvestre	2554	2540	0.2862	0.3346	18	7	29	13	11	0	0.0150	0.0000	0	9	0.0000	0.0106	88	41	0.1204	0.0482	32	0	0.0438	0.0000	0	92	0.0000	0.1082	0	1	0.0000	0.0012	4	56	0.0055	0.0659	8	27	0.0109	0.0318	3	1	0.0041	0.0012	0	0	0.0000	0.0000	1	0	0.0014	0.0000	0	1	0.0000	0.0012	31	10	0.0424	0.0118	51	35	0.0698	0.0412	9	0	0.0123	0.0000	3	0	0.0041	0.0000	2	0	0.0027	0.0000	101	0	0.1382	0.0000	0	205	0.0000	0.2412	4	0	0.0055	0.0000	333	345	0.4555	0.4059	0	3	0.0000	0.0035	3	0	0.0041	0.0000	0	2	0.0000	0.0024	0	2	0.0000	0.0024
LOCAL-060329	Coimbra	Coimbra	Torres do Mondego	1930	1872	0.3699	0.4797	12	4	29	19	4	0	0.0056	0.0000	0	6	0.0000	0.0067	116	41	0.1625	0.0457	12	0	0.0168	0.0000	0	40	0.0000	0.0445	0	0	0.0000	0.0000	3	81	0.0042	0.0902	11	31	0.0154	0.0345	0	3	0.0000	0.0033	0	1	0.0000	0.0011	3	0	0.0042	0.0000	0	0	0.0000	0.0000	16	7	0.0224	0.0078	60	59	0.0840	0.0657	8	0	0.0112	0.0000	4	0	0.0056	0.0000	2	0	0.0028	0.0000	97	0	0.1359	0.0000	0	230	0.0000	0.2561	7	0	0.0098	0.0000	328	372	0.4594	0.4143	1	1	0.0014	0.0011	1	0	0.0014	0.0000	0	1	0.0000	0.0011	0	2	0.0000	0.0022
LOCAL-060332	Coimbra	Coimbra	Antuzede e Vil de Matos	2668	2617	0.2987	0.3890	9	9	50	15	1	0	0.0013	0.0000	0	11	0.0000	0.0108	98	52	0.1230	0.0511	16	0	0.0201	0.0000	0	86	0.0000	0.0845	0	1	0.0000	0.0010	2	96	0.0025	0.0943	7	30	0.0088	0.0295	0	0	0.0000	0.0000	0	1	0.0000	0.0010	8	2	0.0100	0.0020	0	1	0.0000	0.0010	29	15	0.0364	0.0147	41	31	0.0514	0.0305	3	0	0.0038	0.0000	4	0	0.0050	0.0000	1	0	0.0013	0.0000	112	0	0.1405	0.0000	0	229	0.0000	0.2250	14	0	0.0176	0.0000	391	437	0.4906	0.4293	2	0	0.0025	0.0000	9	0	0.0113	0.0000	0	0	0.0000	0.0000	0	2	0.0000	0.0020
LOCAL-060333	Coimbra	Coimbra	Assafarge e Antanhol	4525	4570	0.3876	0.4569	35	11	101	31	27	0	0.0154	0.0000	0	26	0.0000	0.0125	323	118	0.1842	0.0565	68	0	0.0388	0.0000	0	119	0.0000	0.0570	0	4	0.0000	0.0019	13	255	0.0074	0.1221	29	79	0.0165	0.0378	3	2	0.0017	0.0010	0	0	0.0000	0.0000	19	0	0.0108	0.0000	0	1	0.0000	0.0005	81	21	0.0462	0.0101	108	96	0.0616	0.0460	14	0	0.0080	0.0000	14	0	0.0080	0.0000	17	0	0.0097	0.0000	324	0	0.1847	0.0000	0	628	0.0000	0.3008	21	0	0.0120	0.0000	548	691	0.3124	0.3309	3	0	0.0017	0.0000	6	0	0.0034	0.0000	0	1	0.0000	0.0005	0	5	0.0000	0.0024
LOCAL-060334	Coimbra	Coimbra	Sé Nova, Santa Cruz, Almedina e São Bartolomeu	12754	12323	0.3924	0.5372	83	29	172	102	110	0	0.0220	0.0000	0	67	0.0000	0.0101	770	550	0.1538	0.0831	407	0	0.0813	0.0000	0	323	0.0000	0.0488	0	15	0.0000	0.0023	59	761	0.0118	0.1150	157	517	0.0314	0.0781	16	13	0.0032	0.0020	0	5	0.0000	0.0008	64	2	0.0128	0.0003	0	5	0.0000	0.0008	208	92	0.0416	0.0139	355	350	0.0709	0.0529	25	0	0.0050	0.0000	32	0	0.0064	0.0000	25	0	0.0050	0.0000	1131	0	0.2260	0.0000	0	2051	0.0000	0.3098	32	0	0.0064	0.0000	1340	1701	0.2677	0.2569	7	1	0.0014	0.0002	12	0	0.0024	0.0000	0	2	0.0000	0.0003	0	34	0.0000	0.0051
LOCAL-060335	Coimbra	Coimbra	Eiras e São Paulo de Frades	15835	15362	0.3593	0.4198	115	44	265	101	136	0	0.0239	0.0000	0	69	0.0000	0.0107	964	393	0.1694	0.0609	249	0	0.0438	0.0000	0	400	0.0000	0.0620	0	13	0.0000	0.0020	36	592	0.0063	0.0918	106	298	0.0186	0.0462	6	11	0.0011	0.0017	0	5	0.0000	0.0008	62	7	0.0109	0.0011	0	10	0.0000	0.0016	291	128	0.0512	0.0198	407	317	0.0715	0.0492	50	0	0.0088	0.0000	45	0	0.0079	0.0000	42	0	0.0074	0.0000	904	0	0.1589	0.0000	0	1605	0.0000	0.2489	64	0	0.0112	0.0000	1907	2428	0.3352	0.3765	9	8	0.0016	0.0012	31	0	0.0054	0.0000	0	8	0.0000	0.0012	0	12	0.0000	0.0019
LOCAL-060336	Coimbra	Coimbra	Santa Clara e Castelo Viegas	10424	10171	0.3886	0.4569	78	28	176	59	92	0	0.0227	0.0000	0	37	0.0000	0.0080	759	320	0.1874	0.0689	193	0	0.0476	0.0000	0	264	0.0000	0.0568	0	5	0.0000	0.0011	31	484	0.0077	0.1042	102	244	0.0252	0.0525	8	8	0.0020	0.0017	0	5	0.0000	0.0011	54	0	0.0133	0.0000	0	5	0.0000	0.0011	199	59	0.0491	0.0127	270	189	0.0667	0.0407	18	0	0.0044	0.0000	16	0	0.0039	0.0000	24	0	0.0059	0.0000	748	0	0.1846	0.0000	0	1360	0.0000	0.2927	32	0	0.0079	0.0000	1233	1559	0.3044	0.3355	9	1	0.0022	0.0002	9	0	0.0022	0.0000	0	9	0.0000	0.0019	0	11	0.0000	0.0024
LOCAL-060337	Coimbra	Coimbra	São Martinho de Árvore e Lamarosa	2650	2548	0.2475	0.3297	21	6	30	14	3	0	0.0046	0.0000	0	10	0.0000	0.0119	82	34	0.1250	0.0405	20	0	0.0305	0.0000	0	106	0.0000	0.1262	0	2	0.0000	0.0024	6	64	0.0091	0.0762	3	36	0.0046	0.0429	4	2	0.0061	0.0024	0	1	0.0000	0.0012	6	2	0.0091	0.0024	0	1	0.0000	0.0012	20	11	0.0305	0.0131	40	29	0.0610	0.0345	3	0	0.0046	0.0000	4	0	0.0061	0.0000	8	0	0.0122	0.0000	102	0	0.1555	0.0000	0	214	0.0000	0.2548	20	0	0.0305	0.0000	278	307	0.4238	0.3655	3	0	0.0046	0.0000	3	0	0.0046	0.0000	0	1	0.0000	0.0012	0	0	0.0000	0.0000
LOCAL-060338	Coimbra	Coimbra	São Martinho do Bispo e Ribeira de Frades	13788	13470	0.3463	0.4062	101	34	204	67	98	0	0.0205	0.0000	0	49	0.0000	0.0090	799	336	0.1673	0.0614	173	0	0.0362	0.0000	0	329	0.0000	0.0601	0	13	0.0000	0.0024	37	497	0.0077	0.0908	93	209	0.0195	0.0382	19	10	0.0040	0.0018	0	7	0.0000	0.0013	66	7	0.0138	0.0013	0	7	0.0000	0.0013	218	69	0.0457	0.0126	314	233	0.0658	0.0426	24	0	0.0050	0.0000	37	0	0.0077	0.0000	16	0	0.0034	0.0000	765	0	0.1602	0.0000	0	1505	0.0000	0.2751	25	0	0.0052	0.0000	1761	2089	0.3688	0.3818	4	0	0.0008	0.0000	21	0	0.0044	0.0000	0	3	0.0000	0.0005	0	7	0.0000	0.0013
