Key	Distrito	Municipio	Freguesia	Eleitores (2022)	Eleitores (2024)	Percentagem de Votantes (2022)	Percentagem de Votantes (2024)	Votos Nulos (2022)	Votos Nulos (2024)	Votos Brancos (2022)	Votos Brancos (2024)	A - Percentagem (2022)	A - Percentagem (2024)	A - Votos (2022)	A - Votos (2024)	ADN - Percentagem (2022)	ADN - Percentagem (2024)	ADN - Votos (2022)	ADN - Votos (2024)	B.E. - Percentagem (2022)	B.E. - Percentagem (2024)	B.E. - Votos (2022)	B.E. - Votos (2024)	CDS-PP - Percentagem (2022)	CDS-PP - Percentagem (2024)	CDS-PP - Votos (2022)	CDS-PP - Votos (2024)	CH - Percentagem (2022)	CH - Percentagem (2024)	CH - Votos (2022)	CH - Votos (2024)	E - Percentagem (2022)	E - Percentagem (2024)	E - Votos (2022)	E - Votos (2024)	IL - Percentagem (2022)	IL - Percentagem (2024)	IL - Votos (2022)	IL - Votos (2024)	JPP - Percentagem (2022)	JPP - Percentagem (2024)	JPP - Votos (2022)	JPP - Votos (2024)	L - Percentagem (2022)	L - Percentagem (2024)	L - Votos (2022)	L - Votos (2024)	MAS - Percentagem (2022)	MAS - Percentagem (2024)	MAS - Votos (2022)	MAS - Votos (2024)	MPT - Percentagem (2022)	MPT - Percentagem (2024)	MPT - Votos (2022)	MPT - Votos (2024)	MPT.A - Percentagem (2022)	MPT.A - Percentagem (2024)	MPT.A - Votos (2022)	MPT.A - Votos (2024)	NC - Percentagem (2022)	NC - Percentagem (2024)	NC - Votos (2022)	NC - Votos (2024)	ND - Percentagem (2022)	ND - Percentagem (2024)	ND - Votos (2022)	ND - Votos (2024)	PAN - Percentagem (2022)	PAN - Percentagem (2024)	PAN - Votos (2022)	PAN - Votos (2024)	PCP-PEV - Percentagem (2022)	PCP-PEV - Percentagem (2024)	PCP-PEV - Votos (2022)	PCP-PEV - Votos (2024)	PCTP/MRPP - Percentagem (2022)	PCTP/MRPP - Percentagem (2024)	PCTP/MRPP - Votos (2022)	PCTP/MRPP - Votos (2024)	PPD/PSD - Percentagem (2022)	PPD/PSD - Percentagem (2024)	PPD/PSD - Votos (2022)	PPD/PSD - Votos (2024)	PPD/PSD.CDS-PP - Percentagem (2022)	PPD/PSD.CDS-PP - Percentagem (2024)	PPD/PSD.CDS-PP - Votos (2022)	PPD/PSD.CDS-PP - Votos (2024)	PPD/PSD.CDS-PP.PPM - Percentagem (2022)	PPD/PSD.CDS-PP.PPM - Percentagem (2024)	PPD/PSD.CDS-PP.PPM - Votos (2022)	PPD/PSD.CDS-PP.PPM - Votos (2024)	PPM - Percentagem (2022)	PPM - Percentagem (2024)	PPM - Votos (2022)	PPM - Votos (2024)	PS - Percentagem (2022)	PS - Percentagem (2024)	PS - Votos (2022)	PS - Votos (2024)	PTP - Percentagem (2022)	PTP - Percentagem (2024)	PTP - Votos (2022)	PTP - Votos (2024)	R.I.R. - Percentagem (2022)	R.I.R. - Percentagem (2024)	R.I.R. - Votos (2022)	R.I.R. - Votos (2024)	VP - Percentagem (2022)	VP - Percentagem (2024)	VP - Votos (2022)	VP - Votos (2024)
LOCAL-110508	Lisboa	Cascais	Cascais e Estoril	54618	53235	0.5878	0.6554	161	274	222	325	0.0006	0	19	0	0.0035	0.0174	112	606	0.0336	0.036	1079	1255	0.0304	0	976	0	0.0895	0.1605	2873	5601	0.0006	0.0004	19	14	0.1326	0.0783	4257	2732	0.0006	0.0002	20	7	0.0223	0.0429	717	1498	0.0008	0	27	0	0.001	0	33	0	0	0.0009	0	30	0.0004	0	14	0	0	0.0018	0	64	0.0193	0.021	621	732	0.0254	0.0186	814	648	0.0022	0.0018	70	62	0.3558	0	11421	0	0	0	0	0	0	0.415	0	14480	0	0	0	0	0.2662	0.1837	8545	6410	0.0003	0.0008	9	27	0.0017	0.0011	54	37	0.0012	0.0025	40	88
LOCAL-110506	Lisboa	Cascais	São Domingos de Rana	49344	49839	0.6216	0.707	251	386	358	511	0.0008	0	24	0	0.0035	0.0152	108	537	0.0455	0.0483	1394	1703	0.0131	0	403	0	0.0832	0.1807	2551	6368	0.0009	0.0008	27	27	0.0784	0.0711	2404	2505	0.0013	0.0007	41	24	0.02	0.0501	613	1764	0.0014	0	44	0	0.0015	0	45	0	0	0.0011	0	37	0.0008	0	25	0	0	0.0017	0	61	0.0234	0.0304	719	1070	0.0437	0.0316	1341	1115	0.0046	0.0035	140	122	0.2371	0	7273	0	0	0	0	0	0	0.2661	0	9376	0	0	0	0	0.4165	0.2673	12773	9420	0.0004	0.0011	11	38	0.0031	0.0029	96	102	0.001	0.002	30	72
LOCAL-110601	Lisboa	Lisboa	Ajuda	12784	12389	0.5939	0.6702	57	90	68	92	0.0003	0	2	0	0.0037	0.0104	28	86	0.0466	0.0519	354	431	0.0119	0	90	0	0.0547	0.1401	415	1163	0.0009	0.0008	7	7	0.0718	0.0568	545	472	0.0005	0.0011	4	9	0.0279	0.067	212	556	0.0014	0	11	0	0.0014	0	11	0	0	0.0006	0	5	0.0008	0	6	0	0	0.002	0	17	0.018	0.0246	137	204	0.0678	0.0518	515	430	0.0049	0.0042	37	35	0.1858	0	1411	0	0	0	0	0	0	0.2156	0	1790	0	0	0	0	0.4812	0.3463	3654	2875	0.0001	0.0014	1	12	0.0024	0.0017	18	14	0.0013	0.0018	10	15
LOCAL-110602	Lisboa	Lisboa	Alcântara	11525	11303	0.6165	0.6841	33	73	53	67	0.002	0	14	0	0.0037	0.0094	26	73	0.0481	0.0579	342	448	0.0204	0	145	0	0.0557	0.1139	396	881	0.0011	0.0008	8	6	0.097	0.0714	689	552	0.0003	0.0003	2	2	0.0388	0.0828	276	640	0.0011	0	8	0	0.001	0	7	0	0	0.0017	0	13	0.0003	0	2	0	0	0.0008	0	6	0.0165	0.0248	117	192	0.057	0.0416	405	322	0.0035	0.0035	25	27	0.2283	0	1622	0	0	0	0	0	0	0.2746	0	2123	0	0	0	0	0.4097	0.2947	2911	2279	0.0003	0.0008	2	6	0.0018	0.0013	13	10	0.0013	0.0016	9	12
LOCAL-110654	Lisboa	Lisboa	Alvalade	29198	29177	0.7149	0.7725	96	131	146	209	0.0002	0	4	0	0.0022	0.0098	46	220	0.0423	0.0472	882	1063	0.0291	0	608	0	0.0496	0.0873	1036	1967	0.0005	0.0005	10	11	0.1318	0.0864	2752	1947	0.0003	0.0001	7	3	0.0466	0.094	973	2119	0.001	0	21	0	0.0008	0	16	0	0	0.0005	0	12	0.0003	0	7	0	0	0.0013	0	30	0.0184	0.0197	385	445	0.0399	0.0295	832	665	0.0015	0.0011	32	24	0.3208	0	6696	0	0	0	0	0	0	0.3899	0	8789	0	0	0	0	0.2996	0.2137	6255	4817	0.0001	0.0003	3	7	0.0013	0.0008	28	17	0.0019	0.0028	40	63
LOCAL-110655	Lisboa	Lisboa	Areeiro	18956	18805	0.6899	0.7401	66	83	80	119	0.0005	0	6	0	0.0024	0.0111	32	154	0.0419	0.0504	548	701	0.0285	0	373	0	0.0505	0.0894	660	1244	0.0005	0.0007	6	10	0.1318	0.0895	1724	1246	0.0003	0.0002	4	3	0.0485	0.0875	634	1218	0.0012	0	16	0	0.0011	0	14	0	0	0.0004	0	5	0.0005	0	6	0	0	0.0013	0	18	0.0174	0.0198	227	276	0.0383	0.0262	501	365	0.0017	0.0013	22	18	0.3383	0	4424	0	0	0	0	0	0	0.4097	0	5702	0	0	0	0	0.2828	0.193	3699	2686	0.0001	0.0004	1	6	0.0009	0.0009	12	13	0.0018	0.0036	23	50
LOCAL-110656	Lisboa	Lisboa	Arroios	27498	26905	0.5724	0.6161	90	121	111	117	0.0002	0	3	0	0.0024	0.0115	38	191	0.0731	0.0842	1150	1395	0.0202	0	318	0	0.044	0.0897	693	1486	0.0003	0.0005	5	8	0.1007	0.0793	1585	1315	0.0006	0.0002	9	4	0.0627	0.1183	987	1961	0.0013	0	21	0	0.001	0	16	0	0	0.0006	0	10	0.0007	0	11	0	0	0.0011	0	19	0.024	0.022	377	365	0.0616	0.0459	970	761	0.0025	0.0025	40	41	0.2473	0	3893	0	0	0	0	0	0	0.2872	0	4760	0	0	0	0	0.3415	0.2379	5375	3943	0.0003	0.0008	5	14	0.001	0.0014	16	23	0.0017	0.0025	26	41
LOCAL-110657	Lisboa	Lisboa	Avenidas Novas	20589	20820	0.7048	0.7509	59	97	78	121	0.0005	0	7	0	0.002	0.0102	29	160	0.0359	0.0411	521	643	0.0407	0	591	0	0.0502	0.0905	729	1415	0.0004	0.0004	6	6	0.166	0.0976	2409	1525	0.0002	0.0003	3	4	0.0405	0.078	588	1219	0.0008	0	12	0	0.0006	0	8	0	0	0.0006	0	10	0.0001	0	2	0	0	0.0013	0	20	0.0122	0.0146	177	229	0.0325	0.0236	472	369	0.0011	0.0012	16	19	0.3477	0	5045	0	0	0	0	0	0	0.4425	0	6918	0	0	0	0	0.2557	0.1805	3710	2821	0.0002	0.0003	3	5	0.0014	0.0007	20	11	0.0018	0.0026	26	41
LOCAL-110607	Lisboa	Lisboa	Beato	10363	10192	0.5763	0.6554	74	77	42	59	0.0003	0	2	0	0.0035	0.0126	21	84	0.0538	0.0537	321	359	0.0169	0	101	0	0.0759	0.1689	453	1128	0.0012	0.0001	7	1	0.0532	0.0479	318	320	0.001	0.0003	6	2	0.027	0.0653	161	436	0.001	0	6	0	0.0013	0	8	0	0	0.0007	0	5	0.0018	0	11	0	0	0.0019	0	13	0.0204	0.024	122	160	0.0625	0.054	373	361	0.0059	0.0037	35	25	0.1864	0	1113	0	0	0	0	0	0	0.1966	0	1313	0	0	0	0	0.466	0.3442	2783	2299	0.0007	0.001	4	7	0.0015	0.0027	9	18	0.0003	0.0019	2	13
LOCAL-110658	Lisboa	Lisboa	Belém	13802	13711	0.7142	0.7735	34	59	71	77	0.0001	0	1	0	0.0019	0.0111	19	118	0.031	0.033	306	350	0.0376	0	371	0	0.0567	0.0886	559	940	0.0004	0.0005	4	5	0.154	0.0901	1518	956	0.0003	0	3	0	0.038	0.0682	375	723	0.0011	0	11	0	0.0008	0	8	0	0	0.0002	0	2	0	0	0	0	0	0.0012	0	13	0.0121	0.0146	119	155	0.0342	0.0284	337	301	0.002	0.0016	20	17	0.3532	0	3481	0	0	0	0	0	0	0.4506	0	4779	0	0	0	0	0.2639	0.1966	2601	2085	0	0.0003	0	3	0.0007	0.0004	7	4	0.0012	0.0018	12	19
LOCAL-110608	Lisboa	Lisboa	Benfica	32192	31830	0.6604	0.7244	130	200	174	217	0.0003	0	7	0	0.0037	0.0105	78	242	0.0457	0.0465	972	1072	0.016	0	341	0	0.0523	0.1124	1111	2592	0.0005	0.0006	11	14	0.0791	0.067	1681	1544	0.0005	0.0003	10	8	0.0328	0.0765	697	1764	0.0011	0	23	0	0.0012	0	26	0	0	0.0007	0	15	0.0005	0	10	0	0	0.0011	0	26	0.0174	0.0215	370	496	0.0464	0.0345	987	795	0.0028	0.0023	59	52	0.2601	0	5529	0	0	0	0	0	0	0.2974	0	6857	0	0	0	0	0.4226	0.3057	8984	7048	0.0001	0.001	3	23	0.0015	0.0014	31	32	0.0011	0.0026	24	61
LOCAL-110659	Lisboa	Lisboa	Campo de Ourique	18690	18150	0.6706	0.73	85	124	108	126	0.0007	0	9	0	0.003	0.0105	37	139	0.042	0.0546	527	723	0.0281	0	352	0	0.0503	0.0993	631	1315	0.0007	0.0005	9	6	0.1244	0.0761	1559	1008	0.0006	0.0002	8	3	0.0432	0.0818	541	1084	0.0006	0	8	0	0.0014	0	17	0	0	0.0006	0	8	0.0005	0	6	0	0	0.0009	0	12	0.0188	0.0199	236	264	0.0452	0.0306	566	405	0.0032	0.002	40	26	0.2848	0	3569	0	0	0	0	0	0	0.3541	0	4691	0	0	0	0	0.3336	0.2461	4181	3260	0	0.0005	0	6	0.0014	0.0012	18	16	0.0021	0.0025	26	33
LOCAL-110610	Lisboa	Lisboa	Campolide	12678	12528	0.6284	0.6902	57	88	63	78	0.001	0	8	0	0.0014	0.0105	11	91	0.0441	0.0487	351	421	0.0198	0	158	0	0.0551	0.1267	439	1096	0.0008	0.0007	6	6	0.1064	0.0766	848	662	0.0005	0.0007	4	6	0.0353	0.0662	281	572	0.0011	0	9	0	0.0014	0	11	0	0	0.0006	0	5	0.0008	0	6	0	0	0.0015	0	13	0.0169	0.023	135	199	0.0459	0.0352	366	304	0.0039	0.0035	31	30	0.261	0	2079	0	0	0	0	0	0	0.3084	0	2667	0	0	0	0	0.3866	0.2733	3080	2363	0.0001	0.0007	1	6	0.0016	0.0019	13	16	0.0013	0.0028	10	24
LOCAL-110611	Lisboa	Lisboa	Carnide	15937	15839	0.678	0.7348	73	95	88	113	0.0008	0	9	0	0.0015	0.0116	16	135	0.0389	0.04	420	465	0.0167	0	180	0	0.0554	0.1278	599	1487	0.0005	0.0014	5	16	0.1018	0.0752	1100	875	0.0005	0.0003	5	3	0.0325	0.0652	351	759	0.001	0	11	0	0.0008	0	9	0	0	0.0006	0	7	0.0007	0	8	0	0	0.002	0	23	0.0169	0.0202	183	235	0.0505	0.0364	546	424	0.0054	0.0048	58	56	0.2732	0	2952	0	0	0	0	0	0	0.3114	0	3624	0	0	0	0	0.3851	0.281	4161	3270	0.0004	0.0005	4	6	0.0018	0.0013	19	15	0.0008	0.0026	9	30
LOCAL-110660	Lisboa	Lisboa	Estrela	15826	14930	0.6753	0.7311	32	73	65	87	0.0012	0	13	0	0.0018	0.0119	19	130	0.0354	0.0398	378	434	0.0466	0	498	0	0.0537	0.0948	574	1035	0.0007	0.0007	7	8	0.1471	0.0743	1572	811	0.0115	0.0003	123	3	0.0341	0.0708	364	773	0.0006	0	6	0	0.0006	0	6	0	0	0.001	0	11	0.0003	0	3	0	0	0.0013	0	14	0.0141	0.0163	151	178	0.0346	0.029	370	317	0.002	0.0016	21	17	0.3321	0	3550	0	0	0	0	0	0	0.4453	0	4860	0	0	0	0	0.2653	0.1947	2835	2125	0.0065	0.0012	70	13	0.0014	0.0007	15	8	0.0015	0.0016	16	18
LOCAL-110618	Lisboa	Lisboa	Lumiar	39116	39218	0.7321	0.7864	121	197	216	290	0.0005	0	13	0	0.002	0.0103	58	319	0.0364	0.0383	1041	1180	0.0255	0	730	0	0.0472	0.0912	1352	2812	0.0005	0.0006	13	20	0.1331	0.0953	3810	2939	0.0004	0.0004	11	11	0.0388	0.076	1112	2343	0.0009	0	25	0	0.0008	0	24	0	0	0.0007	0	21	0.0005	0	15	0	0	0.0011	0	34	0.0172	0.0184	492	567	0.0352	0.0252	1009	778	0.0021	0.0016	61	50	0.3367	0	9640	0	0	0	0	0	0	0.3982	0	12280	0	0	0	0	0.3068	0.2221	8784	6849	0.0002	0.0006	6	17	0.0019	0.0008	55	26	0.0016	0.0035	47	109
LOCAL-110621	Lisboa	Lisboa	Marvila	32981	32552	0.5378	0.6268	179	261	130	184	0.0006	0	10	0	0.002	0.0104	35	213	0.051	0.0496	904	1011	0.0093	0	165	0	0.0962	0.2344	1707	4782	0.0006	0.001	11	21	0.0403	0.0398	715	813	0.0011	0.0006	19	13	0.016	0.0366	283	746	0.0013	0	23	0	0.0015	0	26	0	0	0.0011	0	23	0.0012	0	22	0	0	0.0019	0	38	0.018	0.026	319	531	0.0559	0.0393	992	801	0.007	0.0065	124	133	0.1429	0	2535	0	0	0	0	0	0	0.1513	0	3087	0	0	0	0	0.5314	0.3718	9425	7586	0.0023	0.0025	41	52	0.0032	0.0026	56	54	0.0009	0.0026	16	53
LOCAL-110661	Lisboa	Lisboa	Misericórdia	9746	9133	0.551	0.5908	26	38	37	41	0.0004	0	2	0	0.0026	0.0128	14	69	0.0642	0.0758	345	409	0.0304	0	163	0	0.0458	0.0934	246	504	0.0009	0.0004	5	2	0.1056	0.0608	567	328	0.0002	0.0006	1	3	0.0469	0.0875	252	472	0.0011	0	6	0	0.0015	0	8	0	0	0.0009	0	5	0.0006	0	3	0	0	0.0015	0	8	0.0218	0.0224	117	121	0.0555	0.0452	298	244	0.005	0.0035	27	19	0.2203	0	1183	0	0	0	0	0	0	0.2872	0	1550	0	0	0	0	0.3812	0.2882	2047	1555	0.0011	0.0006	6	3	0.0017	0.0015	9	8	0.0015	0.0032	8	17
LOCAL-110633	Lisboa	Lisboa	Olivais	28850	28269	0.6302	0.7028	117	172	164	201	0.0003	0	6	0	0.0023	0.0107	42	212	0.0504	0.0543	917	1078	0.0163	0	297	0	0.0669	0.1461	1217	2903	0.0009	0.0003	16	5	0.0709	0.0617	1289	1226	0.0006	0.0004	11	7	0.0298	0.0673	542	1338	0.0012	0	22	0	0.0012	0	21	0	0	0.0005	0	10	0.0006	0	10	0	0	0.0014	0	27	0.0219	0.0253	399	502	0.0587	0.0441	1067	877	0.0051	0.0037	92	73	0.2245	0	4082	0	0	0	0	0	0	0.2498	0	4963	0	0	0	0	0.4291	0.3095	7801	6149	0.0002	0.0013	4	25	0.0024	0.002	43	39	0.0012	0.003	22	60
LOCAL-110662	Lisboa	Lisboa	Parque das Nações	17026	17178	0.703	0.7546	65	97	97	112	0.0003	0	3	0	0.0021	0.011	25	142	0.0347	0.0356	415	462	0.0145	0	173	0	0.0489	0.1085	585	1407	0.0003	0.0007	3	9	0.1274	0.0977	1525	1267	0.0006	0.0003	7	4	0.0333	0.064	399	829	0.0008	0	10	0	0.0008	0	9	0	0	0.002	0	26	0.0011	0	13	0	0	0.0017	0	22	0.0182	0.0201	218	261	0.032	0.0255	383	330	0.0025	0.0017	30	22	0.325	0	3890	0	0	0	0	0	0	0.3648	0	4729	0	0	0	0	0.3411	0.2469	4083	3200	0.0004	0.0002	5	3	0.0011	0.0005	13	7	0.0015	0.0026	18	34
LOCAL-110663	Lisboa	Lisboa	Penha de França	24246	23695	0.5835	0.6548	112	148	118	129	0.0006	0	8	0	0.0022	0.0124	31	192	0.0771	0.0917	1091	1423	0.012	0	170	0	0.0523	0.1267	740	1965	0.0004	0.0005	6	8	0.0658	0.0547	931	848	0.0006	0.0006	9	9	0.048	0.0977	679	1516	0.0018	0	25	0	0.0011	0	15	0	0	0.0008	0	12	0.0004	0	6	0	0	0.0022	0	34	0.023	0.0263	325	408	0.065	0.0469	920	728	0.0042	0.0026	60	40	0.2068	0	2926	0	0	0	0	0	0	0.218	0	3382	0	0	0	0	0.4184	0.2961	5919	4594	0.0006	0.0007	9	11	0.0018	0.0015	25	24	0.0016	0.0028	23	44
LOCAL-110664	Lisboa	Lisboa	Santa Clara	19029	19092	0.5392	0.6121	83	126	86	115	0.0006	0	6	0	0.0019	0.0105	20	123	0.0404	0.0399	414	466	0.0136	0	140	0	0.1035	0.2109	1062	2464	0.0006	0.0008	6	9	0.0675	0.0551	693	644	0.0011	0.0009	11	10	0.0216	0.0459	222	536	0.0019	0	20	0	0.0019	0	19	0	0	0.001	0	12	0.0011	0	11	0	0	0.0021	0	24	0.0158	0.0225	162	263	0.0441	0.0324	452	379	0.0054	0.0034	55	40	0.1933	0	1983	0	0	0	0	0	0	0.208	0	2431	0	0	0	0	0.4638	0.3397	4759	3970	0.0008	0.0011	8	13	0.0028	0.002	29	23	0.0019	0.0033	19	38
LOCAL-110665	Lisboa	Lisboa	Santa Maria Maior	9389	8752	0.4699	0.5021	35	50	29	42	0.0002	0	1	0	0.0018	0.0102	8	45	0.0639	0.0751	282	330	0.0215	0	95	0	0.0494	0.1183	218	520	0.0009	0.0011	4	5	0.0648	0.0432	286	190	0.0016	0.0009	7	4	0.0397	0.0762	175	335	0.0016	0	7	0	0.0011	0	5	0	0	0.0002	0	1	0.0005	0	2	0	0	0.0025	0	11	0.0199	0.023	88	101	0.0814	0.0678	359	298	0.0084	0.0066	37	29	0.167	0	737	0	0	0	0	0	0	0.2112	0	928	0	0	0	0	0.4578	0.3375	2020	1483	0.0007	0.0018	3	8	0.002	0.0016	9	7	0.0011	0.0016	5	7
LOCAL-110666	Lisboa	Lisboa	Santo António	10166	9816	0.6472	0.6818	16	36	49	63	0.0005	0	3	0	0.0029	0.0111	19	74	0.0491	0.0547	323	366	0.0385	0	253	0	0.0423	0.085	278	569	0.0006	0.0004	4	3	0.1377	0.0826	906	553	0.0005	0.0004	3	3	0.0474	0.0976	312	653	0.0011	0	7	0	0.0011	0	7	0	0	0.0006	0	4	0.0009	0	6	0	0	0.0021	0	14	0.0158	0.0181	104	121	0.0444	0.0336	292	225	0.0018	0.0015	12	10	0.3119	0	2052	0	0	0	0	0	0	0.4003	0	2679	0	0	0	0	0.2911	0.193	1915	1292	0	0.0006	0	4	0.0014	0.0013	9	9	0.0014	0.0022	9	15
LOCAL-110639	Lisboa	Lisboa	São Domingos de Benfica	30489	30338	0.7111	0.7623	85	126	147	199	0.0002	0	4	0	0.0022	0.0096	47	222	0.0365	0.0397	792	918	0.0247	0	535	0	0.0441	0.0842	956	1947	0.0004	0.0004	9	9	0.1248	0.0855	2705	1978	0.0002	0.0004	4	10	0.0399	0.079	866	1826	0.0007	0	16	0	0.0008	0	18	0	0	0.0007	0	16	0.0004	0	9	0	0	0.0013	0	30	0.0183	0.021	397	486	0.0367	0.0286	796	661	0.0016	0.0013	35	30	0.3391	0	7352	0	0	0	0	0	0	0.4065	0	9400	0	0	0	0	0.3164	0.2239	6859	5178	0.0001	0.0003	3	7	0.0008	0.001	18	23	0.0012	0.0026	27	60
LOCAL-110667	Lisboa	Lisboa	São Vicente	11326	10817	0.5784	0.6481	45	63	47	52	0.0012	0	8	0	0.0023	0.0113	15	79	0.0785	0.0969	514	679	0.0134	0	88	0	0.0458	0.112	300	785	0.0003	0.0007	2	5	0.0649	0.0525	425	368	0.0006	0.0003	4	2	0.0542	0.1053	355	738	0.0023	0	15	0	0.0009	0	6	0	0	0.0041	0	29	0.0003	0	2	0	0	0.0021	0	15	0.0258	0.0268	169	188	0.0792	0.0592	519	415	0.005	0.0023	33	16	0.1931	0	1265	0	0	0	0	0	0	0.2188	0	1534	0	0	0	0	0.4149	0.2856	2718	2002	0.0003	0.0007	2	5	0.0014	0.0027	9	19	0.0015	0.0023	10	16
LOCAL-110702	Lisboa	Loures	Bucelas	3816	3806	0.6441	0.727	14	35	25	42	0.0008	0	2	0	0.0012	0.0145	3	40	0.0374	0.0528	92	146	0.0122	0	30	0	0.0761	0.2093	187	579	0.0004	0.0014	1	4	0.0395	0.0455	97	126	0.0008	0.0014	2	4	0.0151	0.0387	37	107	0.0004	0	1	0	0.0012	0	3	0	0	0.0014	0	4	0.0004	0	1	0	0	0.0004	0	1	0.0138	0.0206	34	57	0.085	0.0784	209	217	0.0041	0.0069	10	19	0.1709	0	420	0	0	0	0	0	0	0.1637	0	453	0	0	0	0	0.5167	0.3289	1270	910	0	0.0007	0	2	0.0081	0.0058	20	16	0	0.0018	0	5
LOCAL-110731	Lisboa	Loures	Camarate, Unhos e Apelação	27243	27190	0.5442	0.6176	167	233	129	158	0.0003	0	5	0	0.0021	0.0144	31	242	0.0371	0.0382	550	642	0.0092	0	136	0	0.1103	0.2639	1636	4432	0.0009	0.0012	13	20	0.0299	0.0311	444	523	0.0012	0.0007	18	12	0.0093	0.0227	138	381	0.0014	0	21	0	0.0014	0	21	0	0	0.0013	0	21	0.0013	0	19	0	0	0.0027	0	45	0.0149	0.0235	221	394	0.0735	0.0562	1089	944	0.0079	0.0079	117	132	0.1356	0	2011	0	0	0	0	0	0	0.1378	0	2314	0	0	0	0	0.5388	0.3692	7988	6200	0.0011	0.0016	17	27	0.003	0.0023	44	38	0.0007	0.002	11	34
LOCAL-110705	Lisboa	Loures	Fanhões	2210	2260	0.6507	0.7389	19	26	16	28	0	0	0	0	0.0014	0.0186	2	31	0.0271	0.0485	39	81	0.0083	0	12	0	0.1113	0.2341	160	391	0	0.0006	0	1	0.0494	0.0443	71	74	0.0028	0	4	0	0.0146	0.0389	21	65	0.0007	0	1	0	0.0007	0	1	0	0	0.0012	0	2	0	0	0	0	0	0.0012	0	2	0.0181	0.0263	26	44	0.0994	0.0737	143	123	0.0083	0.0102	12	17	0.2114	0	304	0	0	0	0	0	0	0.2012	0	336	0	0	0	0	0.4214	0.2635	606	440	0	0.0018	0	3	0.0007	0.0024	1	4	0	0.0012	0	2
LOCAL-110707	Lisboa	Loures	Loures	25071	25261	0.6538	0.7357	105	182	188	221	0.0004	0	6	0	0.002	0.0139	33	258	0.0416	0.0461	682	856	0.0117	0	191	0	0.096	0.2007	1573	3729	0.0004	0.0005	7	9	0.068	0.0692	1115	1286	0.0009	0.0009	14	16	0.0168	0.0461	276	856	0.001	0	16	0	0.0014	0	23	0	0	0.0009	0	16	0.0005	0	8	0	0	0.0013	0	24	0.0202	0.0301	331	559	0.0644	0.0463	1056	861	0.0054	0.0037	88	69	0.2271	0	3722	0	0	0	0	0	0	0.2489	0	4625	0	0	0	0	0.4201	0.2646	6886	4917	0.0004	0.0009	6	16	0.0031	0.0025	51	47	0.0009	0.002	15	37
LOCAL-110708	Lisboa	Loures	Lousa	2626	2639	0.6051	0.7113	16	24	17	25	0.0006	0	1	0	0.0031	0.0218	5	41	0.0415	0.049	66	92	0.0113	0	18	0	0.0768	0.2238	122	420	0.0013	0	2	0	0.0491	0.0591	78	111	0.0006	0.0011	1	2	0.0132	0.0336	21	63	0.0019	0	3	0	0.0013	0	2	0	0	0.0011	0	2	0	0	0	0	0	0.0011	0	2	0.022	0.0293	35	55	0.068	0.0485	108	91	0.0025	0.0059	4	11	0.2618	0	416	0	0	0	0	0	0	0.2408	0	452	0	0	0	0	0.421	0.2509	669	471	0	0.0011	0	2	0.0025	0.0032	4	6	0.0006	0.0037	1	7
LOCAL-110726	Lisboa	Loures	Moscavide e Portela	18015	17606	0.6609	0.7166	62	104	111	115	0.0004	0	5	0	0.0033	0.012	39	152	0.0406	0.0426	484	537	0.0159	0	189	0	0.0531	0.1064	632	1342	0.0001	0.001	1	13	0.0851	0.0691	1013	872	0.0007	0.0005	8	6	0.0244	0.0577	291	728	0.001	0	12	0	0.0009	0	11	0	0	0.0006	0	8	0.0004	0	5	0	0	0.0012	0	15	0.0162	0.0216	193	273	0.0511	0.0358	608	452	0.0027	0.0025	32	32	0.2899	0	3452	0	0	0	0	0	0	0.3286	0	4146	0	0	0	0	0.3969	0.2986	4726	3768	0.0003	0.0003	4	4	0.0011	0.0018	13	23	0.0013	0.0021	16	27
LOCAL-110727	Lisboa	Loures	Sacavém e Prior Velho	19982	20000	0.617	0.6803	95	167	105	137	0.0002	0	3	0	0.0028	0.0128	34	174	0.0423	0.0487	522	663	0.0114	0	141	0	0.0727	0.1544	896	2101	0.0005	0.0004	6	6	0.0651	0.0617	802	840	0.0005	0.0004	6	5	0.0178	0.0484	219	658	0.0011	0	14	0	0.001	0	12	0	0	0.0011	0	15	0.0003	0	4	0	0	0.0019	0	26	0.0185	0.0232	228	315	0.0761	0.0558	938	759	0.0041	0.0032	50	43	0.1965	0	2423	0	0	0	0	0	0	0.2221	0	3022	0	0	0	0	0.4698	0.3395	5792	4619	0.0006	0.0008	7	11	0.0018	0.0017	22	23	0.0007	0.0015	9	21
LOCAL-110728	Lisboa	Loures	Santa Iria de Azoia, São João da Talha e Bobadela	37704	37761	0.6599	0.7367	233	361	280	335	0.0005	0	13	0	0.002	0.0136	50	378	0.044	0.0493	1095	1371	0.0093	0	232	0	0.0833	0.1864	2072	5187	0.0008	0.0009	19	26	0.0488	0.0561	1215	1562	0.0006	0.0007	14	20	0.0124	0.0406	308	1129	0.0018	0	44	0	0.0012	0	30	0	0	0.0009	0	24	0.0004	0	11	0	0	0.0017	0	46	0.0202	0.026	503	724	0.0909	0.0664	2261	1847	0.0057	0.0047	141	130	0.1737	0	4323	0	0	0	0	0	0	0.1892	0	5264	0	0	0	0	0.4799	0.3329	11941	9262	0.0004	0.0013	9	35	0.0026	0.0024	65	68	0.0009	0.0018	22	51
