Key	Distrito	Municipio	Freguesia	Eleitores (Anterior)	Eleitores (Corrente)	Percentagem de Votantes (Anterior)	Percentagem de Votantes (Corrente)	Votos Nulos (Anterior)	Votos Nulos (Corrente)	Votos Brancos (Anterior)	Votos Brancos (Corrente)	ADN - Votos (Anterior)	ADN - Votos (Corrente)	ADN - Percentagem (Anterior)	ADN - Percentagem (Corrente)	B.E. - Votos (Anterior)	B.E. - Votos (Corrente)	B.E. - Percentagem (Anterior)	B.E. - Percentagem (Corrente)	CH - Votos (Anterior)	CH - Votos (Corrente)	CH - Percentagem (Anterior)	CH - Percentagem (Corrente)	E - Votos (Anterior)	E - Votos (Corrente)	E - Percentagem (Anterior)	E - Percentagem (Corrente)	IL - Votos (Anterior)	IL - Votos (Corrente)	IL - Percentagem (Anterior)	IL - Percentagem (Corrente)	JPP - Votos (Anterior)	JPP - Votos (Corrente)	JPP - Percentagem (Anterior)	JPP - Percentagem (Corrente)	L - Votos (Anterior)	L - Votos (Corrente)	L - Percentagem (Anterior)	L - Percentagem (Corrente)	MPT - Votos (Anterior)	MPT - Votos (Corrente)	MPT - Percentagem (Anterior)	MPT - Percentagem (Corrente)	MPT.A - Votos (Anterior)	MPT.A - Votos (Corrente)	MPT.A - Percentagem (Anterior)	MPT.A - Percentagem (Corrente)	NC - Votos (Anterior)	NC - Votos (Corrente)	NC - Percentagem (Anterior)	NC - Percentagem (Corrente)	ND - Votos (Anterior)	ND - Votos (Corrente)	ND - Percentagem (Anterior)	ND - Percentagem (Corrente)	PAN - Votos (Anterior)	PAN - Votos (Corrente)	PAN - Percentagem (Anterior)	PAN - Percentagem (Corrente)	PCP-PEV - Votos (Anterior)	PCP-PEV - Votos (Corrente)	PCP-PEV - Percentagem (Anterior)	PCP-PEV - Percentagem (Corrente)	PCTP/MRPP - Votos (Anterior)	PCTP/MRPP - Votos (Corrente)	PCTP/MRPP - Percentagem (Anterior)	PCTP/MRPP - Percentagem (Corrente)	PLS - Votos (Anterior)	PLS - Votos (Corrente)	PLS - Percentagem (Anterior)	PLS - Percentagem (Corrente)	PPD/PSD.CDS-PP - Votos (Anterior)	PPD/PSD.CDS-PP - Votos (Corrente)	PPD/PSD.CDS-PP - Percentagem (Anterior)	PPD/PSD.CDS-PP - Percentagem (Corrente)	PPD/PSD.CDS-PP.PPM - Votos (Anterior)	PPD/PSD.CDS-PP.PPM - Votos (Corrente)	PPD/PSD.CDS-PP.PPM - Percentagem (Anterior)	PPD/PSD.CDS-PP.PPM - Percentagem (Corrente)	PPM - Votos (Anterior)	PPM - Votos (Corrente)	PPM - Percentagem (Anterior)	PPM - Percentagem (Corrente)	PS - Votos (Anterior)	PS - Votos (Corrente)	PS - Percentagem (Anterior)	PS - Percentagem (Corrente)	PTP - Votos (Anterior)	PTP - Votos (Corrente)	PTP - Percentagem (Anterior)	PTP - Percentagem (Corrente)	R.I.R. - Votos (Anterior)	R.I.R. - Votos (Corrente)	R.I.R. - Percentagem (Anterior)	R.I.R. - Percentagem (Corrente)	VP - Votos (Anterior)	VP - Votos (Corrente)	VP - Percentagem (Anterior)	VP - Percentagem (Corrente)
LOCAL-041203	Bragança	Vinhais	Candedo	330	319	0.4758	0.4420	1	3	0	3	6	3	0.0382	0.0213	1	0	0.0064	0.0000	23	13	0.1465	0.0922	2	0	0.0127	0.0000	1	1	0.0064	0.0071	0	0	0.0000	0.0000	0	2	0.0000	0.0142	0	0	0.0000	0.0000	1	0	0.0064	0.0000	0	0	0.0000	0.0000	1	0	0.0064	0.0000	0	0	0.0000	0.0000	2	3	0.0127	0.0213	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	66	0.0000	0.4681	55	0	0.3503	0.0000	0	0	0.0000	0.0000	62	47	0.3949	0.3333	0	0	0.0000	0.0000	2	0	0.0127	0.0000	0	0	0.0000	0.0000
LOCAL-041204	Bragança	Vinhais	Celas	254	251	0.4252	0.3426	0	2	1	0	4	4	0.0370	0.0465	4	0	0.0370	0.0000	21	13	0.1944	0.1512	0	0	0.0000	0.0000	0	1	0.0000	0.0116	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	1	0	0.0093	0.0000	0	1	0.0000	0.0116	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	44	0.0000	0.5116	45	0	0.4167	0.0000	0	0	0.0000	0.0000	30	19	0.2778	0.2209	0	0	0.0000	0.0000	2	0	0.0185	0.0000	0	2	0.0000	0.0233
LOCAL-041206	Bragança	Vinhais	Edral	212	209	0.3632	0.3158	1	0	0	0	3	1	0.0390	0.0152	0	1	0.0000	0.0152	9	5	0.1169	0.0758	0	0	0.0000	0.0000	0	1	0.0000	0.0152	0	0	0.0000	0.0000	1	1	0.0130	0.0152	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	1	0.0000	0.0152	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	25	0.0000	0.3788	20	0	0.2597	0.0000	0	0	0.0000	0.0000	43	31	0.5584	0.4697	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000
LOCAL-041207	Bragança	Vinhais	Edrosa	191	187	0.4293	0.4225	1	0	0	0	2	2	0.0244	0.0253	2	0	0.0244	0.0000	11	14	0.1341	0.1772	0	0	0.0000	0.0000	0	1	0.0000	0.0127	0	0	0.0000	0.0000	0	1	0.0000	0.0127	0	0	0.0000	0.0000	1	0	0.0122	0.0000	0	0	0.0000	0.0000	1	0	0.0122	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	38	0.0000	0.4810	34	0	0.4146	0.0000	0	0	0.0000	0.0000	30	23	0.3659	0.2911	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000
LOCAL-041208	Bragança	Vinhais	Ervedosa	399	395	0.4812	0.4785	3	3	2	5	11	8	0.0573	0.0423	2	0	0.0104	0.0000	23	35	0.1198	0.1852	3	0	0.0156	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	1	2	0.0052	0.0106	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	75	0.0000	0.3968	68	0	0.3542	0.0000	0	0	0.0000	0.0000	79	61	0.4115	0.3228	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000
LOCAL-041215	Bragança	Vinhais	Paçó	224	222	0.4598	0.4279	0	0	2	2	4	2	0.0388	0.0211	2	1	0.0194	0.0105	29	27	0.2816	0.2842	0	0	0.0000	0.0000	0	1	0.0000	0.0105	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	2	0	0.0194	0.0000	0	2	0.0000	0.0211	1	1	0.0097	0.0105	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	48	0.0000	0.5053	48	0	0.4660	0.0000	0	0	0.0000	0.0000	15	11	0.1456	0.1158	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000
LOCAL-041216	Bragança	Vinhais	Penhas Juntas	301	282	0.4452	0.4823	2	0	4	1	3	4	0.0224	0.0294	1	1	0.0075	0.0074	24	25	0.1791	0.1838	1	0	0.0075	0.0000	8	1	0.0597	0.0074	0	0	0.0000	0.0000	1	0	0.0075	0.0000	0	0	0.0000	0.0000	1	0	0.0075	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	1	3	0.0075	0.0221	0	1	0.0000	0.0074	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	69	0.0000	0.5074	51	0	0.3806	0.0000	0	1	0.0000	0.0074	35	30	0.2612	0.2206	0	0	0.0000	0.0000	2	0	0.0149	0.0000	0	0	0.0000	0.0000
LOCAL-041219	Bragança	Vinhais	Rebordelo	630	624	0.5825	0.5272	3	4	2	2	5	4	0.0136	0.0122	3	3	0.0082	0.0091	73	97	0.1989	0.2948	0	0	0.0000	0.0000	2	4	0.0054	0.0122	0	0	0.0000	0.0000	0	1	0.0000	0.0030	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	2	0	0.0054	0.0000	1	1	0.0027	0.0030	6	5	0.0163	0.0152	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	94	0.0000	0.2857	111	0	0.3025	0.0000	0	1	0.0000	0.0030	159	112	0.4332	0.3404	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	1	0.0000	0.0030
LOCAL-041221	Bragança	Vinhais	Santalha	284	272	0.3768	0.4118	0	2	0	0	4	2	0.0374	0.0179	1	2	0.0093	0.0179	11	8	0.1028	0.0714	0	0	0.0000	0.0000	4	1	0.0374	0.0089	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	1	0	0.0093	0.0000	1	1	0.0093	0.0089	0	1	0.0000	0.0089	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	65	0.0000	0.5804	55	0	0.5140	0.0000	0	1	0.0000	0.0089	30	29	0.2804	0.2589	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000
LOCAL-041226	Bragança	Vinhais	Tuizelo	385	370	0.3455	0.3486	1	1	3	1	4	8	0.0301	0.0620	1	0	0.0075	0.0000	19	14	0.1429	0.1085	1	0	0.0075	0.0000	0	1	0.0000	0.0078	0	0	0.0000	0.0000	1	0	0.0075	0.0000	0	0	0.0000	0.0000	1	0	0.0075	0.0000	0	0	0.0000	0.0000	2	0	0.0150	0.0000	1	1	0.0075	0.0078	3	3	0.0226	0.0233	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	73	0.0000	0.5659	71	0	0.5338	0.0000	0	0	0.0000	0.0000	25	27	0.1880	0.2093	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000
LOCAL-041227	Bragança	Vinhais	Vale das Fontes	362	354	0.4862	0.4548	1	1	1	1	3	5	0.0170	0.0311	1	0	0.0057	0.0000	25	35	0.1420	0.2174	0	1	0.0000	0.0062	0	1	0.0000	0.0062	0	0	0.0000	0.0000	1	0	0.0057	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	1	0	0.0057	0.0000	1	1	0.0057	0.0062	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	78	0.0000	0.4845	80	0	0.4545	0.0000	0	0	0.0000	0.0000	62	38	0.3523	0.2360	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000
LOCAL-041229	Bragança	Vinhais	Vila Boa de Ousilhão	164	162	0.4573	0.4753	4	5	0	2	3	4	0.0400	0.0519	3	2	0.0400	0.0260	13	17	0.1733	0.2208	1	0	0.0133	0.0000	0	2	0.0000	0.0260	0	0	0.0000	0.0000	1	1	0.0133	0.0130	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	1	0	0.0133	0.0000	1	1	0.0133	0.0130	0	2	0.0000	0.0260	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	28	0.0000	0.3636	28	0	0.3733	0.0000	0	0	0.0000	0.0000	20	13	0.2667	0.1688	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000
LOCAL-041230	Bragança	Vinhais	Vila Verde	198	194	0.4293	0.4485	3	5	1	0	2	2	0.0235	0.0230	0	0	0.0000	0.0000	12	11	0.1412	0.1264	0	0	0.0000	0.0000	5	3	0.0588	0.0345	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	1	0	0.0118	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	48	0.0000	0.5517	32	0	0.3765	0.0000	0	1	0.0000	0.0115	29	17	0.3412	0.1954	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000
LOCAL-041232	Bragança	Vinhais	Vilar de Ossos	242	234	0.5455	0.5470	3	1	1	1	4	0	0.0303	0.0000	3	0	0.0227	0.0000	15	14	0.1136	0.1094	0	0	0.0000	0.0000	4	1	0.0303	0.0078	0	0	0.0000	0.0000	3	4	0.0227	0.0313	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	1	2	0.0076	0.0156	0	1	0.0000	0.0078	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	61	0.0000	0.4766	52	0	0.3939	0.0000	0	0	0.0000	0.0000	46	42	0.3485	0.3281	0	0	0.0000	0.0000	0	1	0.0000	0.0078	0	0	0.0000	0.0000
LOCAL-041233	Bragança	Vinhais	Vilar de Peregrinos	177	170	0.4802	0.4176	0	1	1	0	4	2	0.0471	0.0282	0	0	0.0000	0.0000	8	9	0.0941	0.1268	0	0	0.0000	0.0000	1	0	0.0118	0.0000	0	0	0.0000	0.0000	0	1	0.0000	0.0141	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	1	0	0.0118	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	36	0.0000	0.5070	39	0	0.4588	0.0000	0	0	0.0000	0.0000	31	22	0.3647	0.3099	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000
LOCAL-041234	Bragança	Vinhais	Vilar Seco de Lomba	241	227	0.4730	0.4626	0	2	0	0	1	1	0.0088	0.0095	0	0	0.0000	0.0000	9	11	0.0789	0.1048	1	0	0.0088	0.0000	2	0	0.0175	0.0000	0	0	0.0000	0.0000	2	2	0.0175	0.0190	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	1	0.0000	0.0095	1	2	0.0088	0.0190	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	54	0.0000	0.5143	47	0	0.4123	0.0000	0	0	0.0000	0.0000	50	31	0.4386	0.2952	0	0	0.0000	0.0000	1	1	0.0088	0.0095	0	0	0.0000	0.0000
LOCAL-041235	Bragança	Vinhais	Vinhais	2141	2135	0.5806	0.5326	20	16	5	10	38	20	0.0306	0.0176	30	13	0.0241	0.0114	186	178	0.1496	0.1566	2	1	0.0016	0.0009	15	24	0.0121	0.0211	0	0	0.0000	0.0000	14	8	0.0113	0.0070	0	0	0.0000	0.0000	1	0	0.0008	0.0000	0	0	0.0000	0.0000	3	0	0.0024	0.0000	7	5	0.0056	0.0044	7	10	0.0056	0.0088	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	468	0.0000	0.4116	443	0	0.3564	0.0000	0	0	0.0000	0.0000	470	382	0.3781	0.3360	0	0	0.0000	0.0000	2	1	0.0016	0.0009	0	1	0.0000	0.0009
LOCAL-041236	Bragança	Vinhais	Curopos e Vale de Janeiro	340	329	0.5147	0.4772	6	9	0	2	8	3	0.0457	0.0191	1	1	0.0057	0.0064	29	25	0.1657	0.1592	1	0	0.0057	0.0000	2	1	0.0114	0.0064	0	0	0.0000	0.0000	1	0	0.0057	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	1	0	0.0057	0.0000	1	0	0.0057	0.0000	0	1	0.0000	0.0064	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	74	0.0000	0.4713	62	0	0.3543	0.0000	0	0	0.0000	0.0000	63	41	0.3600	0.2611	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000
LOCAL-041237	Bragança	Vinhais	Moimenta e Montouto	282	273	0.4184	0.3993	3	3	2	4	2	1	0.0169	0.0092	2	2	0.0169	0.0183	24	16	0.2034	0.1468	0	0	0.0000	0.0000	2	0	0.0169	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	33	0.0000	0.3028	30	0	0.2542	0.0000	0	1	0.0000	0.0092	52	49	0.4407	0.4495	0	0	0.0000	0.0000	1	0	0.0085	0.0000	0	0	0.0000	0.0000
LOCAL-041238	Bragança	Vinhais	Nunes e Ousilhão	227	224	0.5683	0.5938	4	3	2	1	6	7	0.0465	0.0526	3	2	0.0233	0.0150	15	21	0.1163	0.1579	2	2	0.0155	0.0150	0	3	0.0000	0.0226	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	1	0	0.0078	0.0000	3	0	0.0233	0.0000	0	1	0.0000	0.0075	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	55	0.0000	0.4135	38	0	0.2946	0.0000	0	0	0.0000	0.0000	53	37	0.4109	0.2782	0	0	0.0000	0.0000	2	1	0.0155	0.0075	0	0	0.0000	0.0000
LOCAL-041239	Bragança	Vinhais	Quirás e Pinheiro Novo	341	322	0.2786	0.2329	2	0	0	0	3	2	0.0316	0.0267	1	0	0.0105	0.0000	9	12	0.0947	0.1600	0	0	0.0000	0.0000	0	2	0.0000	0.0267	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	3	0.0000	0.0400	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	27	0.0000	0.3600	31	0	0.3263	0.0000	0	0	0.0000	0.0000	49	29	0.5158	0.3867	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000
LOCAL-041240	Bragança	Vinhais	Sobreiro de Baixo e Alvaredos	459	456	0.4161	0.4254	1	2	1	1	3	5	0.0157	0.0258	0	2	0.0000	0.0103	29	37	0.1518	0.1907	0	0	0.0000	0.0000	4	4	0.0209	0.0206	0	0	0.0000	0.0000	0	3	0.0000	0.0155	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	1	2	0.0052	0.0103	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	103	0.0000	0.5309	92	0	0.4817	0.0000	0	0	0.0000	0.0000	60	35	0.3141	0.1804	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000
LOCAL-041241	Bragança	Vinhais	Soeira, Fresulfe e Mofreita	229	227	0.4410	0.3656	1	3	7	1	0	2	0.0000	0.0241	0	1	0.0000	0.0120	15	11	0.1485	0.1325	0	0	0.0000	0.0000	2	2	0.0198	0.0241	0	0	0.0000	0.0000	1	0	0.0099	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	1	0	0.0099	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	38	0.0000	0.4578	33	0	0.3267	0.0000	0	0	0.0000	0.0000	41	24	0.4059	0.2892	0	0	0.0000	0.0000	0	1	0.0000	0.0120	0	0	0.0000	0.0000
LOCAL-041242	Bragança	Vinhais	Travanca e Santa Cruz	184	176	0.6413	0.6591	1	2	1	1	0	2	0.0000	0.0172	3	1	0.0254	0.0086	20	21	0.1695	0.1810	0	0	0.0000	0.0000	3	0	0.0254	0.0000	0	0	0.0000	0.0000	1	1	0.0085	0.0086	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	1	0	0.0085	0.0000	1	0	0.0085	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	61	0.0000	0.5259	52	0	0.4407	0.0000	0	0	0.0000	0.0000	35	27	0.2966	0.2328	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000
LOCAL-041243	Bragança	Vinhais	Vilar de Lomba e São Jomil	276	267	0.4783	0.4757	2	5	1	2	8	3	0.0606	0.0236	0	0	0.0000	0.0000	16	18	0.1212	0.1417	0	0	0.0000	0.0000	3	3	0.0227	0.0236	0	0	0.0000	0.0000	0	1	0.0000	0.0079	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	1	0	0.0076	0.0000	2	0	0.0152	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	61	0.0000	0.4803	58	0	0.4394	0.0000	0	0	0.0000	0.0000	40	33	0.3030	0.2598	0	0	0.0000	0.0000	1	1	0.0076	0.0079	0	0	0.0000	0.0000
LOCAL-050102	Castelo Branco	Belmonte	Caria	1730	1712	0.5757	0.5625	18	10	16	12	19	17	0.0191	0.0177	39	17	0.0392	0.0177	213	255	0.2139	0.2648	0	0	0.0000	0.0000	15	21	0.0151	0.0218	0	0	0.0000	0.0000	20	25	0.0201	0.0260	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	4	0	0.0040	0.0000	22	14	0.0221	0.0145	25	22	0.0251	0.0228	5	2	0.0050	0.0021	0	0	0.0000	0.0000	0	286	0.0000	0.2970	253	0	0.2540	0.0000	0	2	0.0000	0.0021	342	278	0.3434	0.2887	0	0	0.0000	0.0000	2	1	0.0020	0.0010	3	1	0.0030	0.0010
LOCAL-050104	Castelo Branco	Belmonte	Inguias	599	613	0.5643	0.5367	6	2	9	4	8	11	0.0237	0.0334	15	7	0.0444	0.0213	56	65	0.1657	0.1976	0	1	0.0000	0.0030	7	8	0.0207	0.0243	0	0	0.0000	0.0000	3	3	0.0089	0.0091	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	5	7	0.0148	0.0213	12	8	0.0355	0.0243	2	1	0.0059	0.0030	0	0	0.0000	0.0000	0	93	0.0000	0.2827	69	0	0.2041	0.0000	0	0	0.0000	0.0000	143	114	0.4231	0.3465	0	0	0.0000	0.0000	1	2	0.0030	0.0061	2	3	0.0059	0.0091
LOCAL-050105	Castelo Branco	Belmonte	Maçainhas	289	283	0.6090	0.5901	4	2	6	10	4	2	0.0227	0.0120	8	1	0.0455	0.0060	9	13	0.0511	0.0778	0	1	0.0000	0.0060	2	1	0.0114	0.0060	0	0	0.0000	0.0000	1	4	0.0057	0.0240	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	1	0	0.0057	0.0000	3	4	0.0170	0.0240	5	8	0.0284	0.0479	1	0	0.0057	0.0000	0	0	0.0000	0.0000	0	46	0.0000	0.2754	45	0	0.2557	0.0000	0	0	0.0000	0.0000	87	74	0.4943	0.4431	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	1	0.0000	0.0060
LOCAL-050106	Castelo Branco	Belmonte	Belmonte e Colmeal da Torre	3226	3203	0.6178	0.6060	38	30	25	32	28	34	0.0140	0.0175	74	28	0.0371	0.0144	413	524	0.2072	0.2700	1	1	0.0005	0.0005	32	32	0.0161	0.0165	0	0	0.0000	0.0000	24	44	0.0120	0.0227	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	6	0	0.0030	0.0000	28	24	0.0140	0.0124	70	46	0.0351	0.0237	5	3	0.0025	0.0015	0	0	0.0000	0.0000	0	498	0.0000	0.2566	433	0	0.2173	0.0000	0	2	0.0000	0.0010	808	637	0.4054	0.3282	0	0	0.0000	0.0000	7	2	0.0035	0.0010	1	4	0.0005	0.0021
LOCAL-050201	Castelo Branco	Castelo Branco	Alcains	4313	4394	0.6179	0.5872	41	42	46	42	34	50	0.0128	0.0194	116	46	0.0435	0.0178	674	801	0.2529	0.3105	3	3	0.0011	0.0012	98	104	0.0368	0.0403	0	0	0.0000	0.0000	68	76	0.0255	0.0295	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	10	0	0.0038	0.0000	47	27	0.0176	0.0105	45	40	0.0169	0.0155	7	3	0.0026	0.0012	0	0	0.0000	0.0000	0	629	0.0000	0.2438	634	0	0.2379	0.0000	0	1	0.0000	0.0004	834	704	0.3129	0.2729	0	0	0.0000	0.0000	6	3	0.0023	0.0012	2	9	0.0008	0.0035
LOCAL-050202	Castelo Branco	Castelo Branco	Almaceda	506	488	0.5178	0.5246	2	6	1	2	4	8	0.0153	0.0313	9	6	0.0344	0.0234	34	50	0.1298	0.1953	1	0	0.0038	0.0000	7	3	0.0267	0.0117	0	0	0.0000	0.0000	1	3	0.0038	0.0117	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	1	0	0.0038	0.0000	2	1	0.0076	0.0039	5	2	0.0191	0.0078	2	2	0.0076	0.0078	0	0	0.0000	0.0000	0	88	0.0000	0.3438	77	0	0.2939	0.0000	0	0	0.0000	0.0000	115	82	0.4389	0.3203	0	0	0.0000	0.0000	1	2	0.0038	0.0078	0	1	0.0000	0.0039
LOCAL-050203	Castelo Branco	Castelo Branco	Benquerenças	605	603	0.7091	0.6733	7	8	12	7	9	7	0.0210	0.0172	23	7	0.0536	0.0172	102	112	0.2378	0.2759	0	0	0.0000	0.0000	17	15	0.0396	0.0369	0	0	0.0000	0.0000	12	12	0.0280	0.0296	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	4	4	0.0093	0.0099	5	2	0.0117	0.0049	2	4	0.0047	0.0099	0	0	0.0000	0.0000	0	102	0.0000	0.2512	96	0	0.2238	0.0000	0	1	0.0000	0.0025	138	123	0.3217	0.3030	0	0	0.0000	0.0000	2	2	0.0047	0.0049	0	0	0.0000	0.0000
LOCAL-050205	Castelo Branco	Castelo Branco	Castelo Branco	31215	31127	0.6920	0.6672	216	183	282	249	245	248	0.0113	0.0119	972	351	0.0450	0.0169	5400	5992	0.2500	0.2885	17	29	0.0008	0.0014	860	952	0.0398	0.0458	0	0	0.0000	0.0000	556	651	0.0257	0.0313	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	31	0	0.0014	0.0000	339	216	0.0157	0.0104	403	339	0.0187	0.0163	51	34	0.0024	0.0016	0	0	0.0000	0.0000	0	6801	0.0000	0.3275	6436	0	0.2979	0.0000	0	26	0.0000	0.0013	5702	4639	0.2640	0.2234	0	0	0.0000	0.0000	61	28	0.0028	0.0013	30	30	0.0014	0.0014
LOCAL-050211	Castelo Branco	Castelo Branco	Lardosa	797	796	0.6399	0.6307	13	7	3	5	8	12	0.0157	0.0239	15	9	0.0294	0.0179	114	148	0.2235	0.2948	0	0	0.0000	0.0000	11	9	0.0216	0.0179	0	0	0.0000	0.0000	16	7	0.0314	0.0139	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	1	0	0.0020	0.0000	7	4	0.0137	0.0080	14	14	0.0275	0.0279	10	3	0.0196	0.0060	0	0	0.0000	0.0000	0	133	0.0000	0.2649	118	0	0.2314	0.0000	0	1	0.0000	0.0020	180	149	0.3529	0.2968	0	0	0.0000	0.0000	0	1	0.0000	0.0020	0	0	0.0000	0.0000
